Number,R,G,B,Type,Comments,Name,EffectType
DB1859,153,221,240,Dyed ColourSilk,,Color Lined Frozen Blue ,Lined
DB1860,21,101,160,Dyed ColourSilk,,Color Lined Delphinium ,Lined
DB1861,246,194,74,ABDyed ColourSilk,,Color Lined Light Apricot AB ,ABLined
DB1862,133,112,95,ABDyed ColourSilk,,Color Lined Shell AB ,ABLined
DB1863,210,133,117,ABDyed ColourSilk,,Color Lined Cinnamon AB ,ABLined
DB1864,196,117,76,ABDyed ColourSilk,,Color Lined Topaz AB ,ABLined
DB1865,167,64,83,ABDyed ColourSilk,,Color Lined Berry AB ,ABLined
DB1866,185,116,173,ABDyed ColourSilk,,Color Lined Orchid AB ,ABLined
DB1867,215,95,143,ABDyed ColourSilk,,Color Lined Rose AB ,ABLined
DB1868,134,111,183,ABDyed ColourSilk,,Color Lined Lilac AB ,ABLined
DB1869,27,163,151,ABDyed ColourSilk,,Color Lined Aqua Green AB ,ABLined
DB1870,64,119,116,ABDyed ColourSilk,,Color Lined Emerald AB ,ABLined
DB1871,155,156,161,ABDyed ColourSilk,,Color Lined Smoke Grey AB ,ABLined
DB1872,91,91,91,ABDyed ColourSilk,,Color Lined Rustic Grey AB ,ABLined
DB1873,233,229,121,ABDyed ColourSilk,,Color Lined Citron AB ,ABLined
DB1874,212,186,163,ABDyed ColourSilk,,Color Lined Pale Apricot AB ,ABLined
DB1875,225,122,169,ABDyed ColourSilk,,Color Lined Light Carnation AB ,ABLined
DB1876,131,120,100,ABDyed ColourSilk,,Color Lined Cactus AB ,ABLined
DB1877,134,127,121,ABDyed ColourPewterSilk,,Color Lined Pewter AB ,ABLined
DB1878,118,78,86,ABDyed ColourSilk,,Color Lined Rose Topaz AB ,ABLined
DB1879,153,119,110,ABDyed ColourSilk,,Color Lined Beige AB ,ABLined
DB1880,137,89,111,ABDyed ColourSilk,,Color Lined Hydrangea AB ,ABLined
DB1881,80,68,108,ABDyed ColourSilk,,Color Lined Dark Orchid AB ,ABLined
DB1882,75,100,130,ABDyed ColourSilk,,Color Lined Bayberry AB ,ABLined
DB1886,218,195,79,LusterTransparent,,Transparent Yellow Luster ,TransparentLuster
DB1887,229,115,44,LusterTransparent,,Transparent Orange Luster ,TransparentLuster
DB1888,170,182,70,LusterTransparent,,Transparent Chartreuse Luster ,TransparentLuster
DB1889,42,112,78,LusterTransparent,,Transparent Green Luster ,TransparentLuster
DB1890,74,154,207,LusterTransparent,,Transparent Sky Blue Luster ,TransparentLuster
DB1891,88,54,45,LusterTransparent,,Transparent Dark Topaz Luster ,TransparentLuster
DB1892,64,52,54,LusterTransparent,,Transparent Sable Brown Luster ,TransparentLuster
DB1893,122,91,109,LusterTransparent,,Transparent Smoky Amethyst Luster ,TransparentLuster
DB1894,29,67,52,LusterTransparent,,Transparent Emerald Luster ,TransparentLuster
DB1895,29,88,146,LusterTransparent,,Transparent Capri Luster ,TransparentLuster
DB1896,51,36,141,LusterTransparent,,Transparent Beryl Luster ,TransparentLuster
DB1897,77,86,95,LusterTransparent,,Transparent Grey Luster ,TransparentLuster
DB1900,231,214,184,Opaque,opaque bit glossy,Ivory Ceylon ,Ceylon
DB1906,217,148,166,Opaque,,Opaque Rosewater ,Opaque
DB1907,212,154,168,LusterOpaque,,Opaque Rosewater Luster ,OpaqueLuster
DB1910,74,44,44,MatteOpaque,,Matte Opaque Espresso ,OpaqueMatte
DB1991,54,41,48,Metallic,,Metallic French Plum ,Metallic
DB2031,216,238,33,Luminous,glossy,Neon Lime Aid ,
DB2032,251,203,41,Luminous,glossy,Neon Sun Glow ,
DB2033,251,153,66,Luminous,glossy,Neon Creamsicle,
DB2034,250,122,113,Luminous,glossy,Neon Flamingo ,
DB2035,248,72,173,Luminous,glossy,Neon Wild Strawberry ,
DB2036,246,101,170,Luminous,glossy,Neon Cotton Candy ,
DB2037,234,80,176,Luminous,glossy,Neon Hot Magenta ,
DB2038,186,75,169,Luminous,glossy,Neon Plum Crazy ,
DB2039,78,173,227,Luminous,glossy,Neon Ocean Blue ,
DB2040,83,218,113,Luminous,glossy,Neon Mint Green ,
DB2041,199,162,71,N/A,multi a bit?,Neon Honeycomb ,
DB2042,191,121,113,N/A,multi a bit?,Neon Sea Coral ,
DB2043,171,124,72,N/A,multi a bit?,Neon Almond ,
DB2044,158,101,84,N/A,multi a bit?,Neon Guava ,
DB2045,232,137,53,N/A,multi a bit?,Neon Mango ,
DB2046,123,111,61,N/A,multi a bit?,Neon Mushroom ,
DB2047,247,101,42,Luminous,glossy,Neon Bittersweet,
DB2048,181,83,130,N/A,multi a bit?,Neon Pink Taffy ,
DB2049,174,70,157,N/A,multi a bit?,Neon Hot Pink ,
DB2050,182,62,136,N/A,multi a bit?,Neon Jazzberry ,
DB2051,229,64,62,Luminous,glossy,Neon Poppy Red ,
DB2052,130,135,112,N/A,,Neon Asparagus Green ,
DB2053,53,155,133,N/A,multi a bit?,Neon Mermaid Green ,
DB2054,67,102,124,N/A,,Neon Dusk Blue ,
DB2061,212,150,37,N/A,multi,Luminous Mix 1,Luminous
DB2062,222,122,73,N/A,multi max,Luminous Mix 2,Luminous
DB2063,192,86,46,N/A,multi max,Luminous Mix 3,Luminous
DB2064,203,59,120,N/A,multi max,Luminous Mix 4,Luminous
DB2065,124,87,138,N/A,multi max,Luminous Mix 5,Luminous
DB2066,150,164,69,N/A,multi max,Luminous Mix 6,Luminous
DB2067,72,137,143,N/A,multi max,Luminous Mix 7,Luminous
DB2068,93,111,135,N/A,multi max,Luminous Mix 8,Luminous
DB2101,243,222,139,DuracoatOpaque,,Opaque Light Lemon Ice Duracoat ,Opaque
DB2102,221,166,66,DuracoatOpaque,,Opaque Banana Duracoat ,Opaque
DB2103,243,153,15,DuracoatOpaque,,Opaque Light Squash Duracoat ,Opaque
DB2104,226,124,24,DuracoatOpaque,,Opaque Kumquat Duracoat ,Opaque
DB2105,148,116,103,DuracoatOpaque,,Opaque Beige Duracoat ,Opaque
DB2106,164,109,26,DuracoatOpaque,,Opaque Hawthorne Duracoat ,Opaque
DB2107,160,100,66,DuracoatOpaque,,Opaque Cedar Duracoat ,Opaque
DB2108,156,88,25,DuracoatOpaque,,Opaque Persimmon Duracoat ,Opaque
DB2109,135,85,36,DuracoatOpaque,,Opaque Sienna Duracoat ,Opaque
DB2110,143,93,30,DuracoatOpaque,,Opaque Toast Duracoat ,Opaque
DB2111,223,146,118,DuracoatOpaque,,Opaque Tea Rose Duracoat ,Opaque
DB2112,234,128,114,DuracoatOpaque,,Opaque Dark Salmon Duracoat ,Opaque
DB2113,226,136,135,DuracoatOpaque,,Opaque Lychee Duracoat ,Opaque
DB2114,206,103,96,DuracoatOpaque,,Opaque Light Watermelon Duracoat ,Opaque
DB2115,219,109,122,DuracoatOpaque,,Opaque Guava Duracoat ,Opaque
DB2116,238,138,162,DuracoatOpaque,,Opaque Light Carnation Duracoat ,Opaque
DB2117,232,111,142,DuracoatOpaque,,Opaque Camation Duracoat ,Opaque
DB2118,146,74,96,DuracoatOpaque,,Opaque Pansy Duracoat ,Opaque
DB2119,126,41,38,DuracoatOpaque,,Opaque Jujube Duracoal ,Opaque
DB2120,110,43,34,DuracoatOpaque,,Opaque Maroon Duracoat ,Opaque
DB2121,106,186,25,DuracoatOpaque,,Opaque Kiwi Duracoat ,Opaque
DB2122,86,219,202,DuracoatOpaque,,Opaque Catalina Duracoat ,Opaque
DB2123,148,154,110,DuracoatOpaque,,Opaque Fennel Duracoat ,Opaque
DB2124,143,130,85,DuracoatOpaque,,Opaque Cactus Duracoat ,Opaque
DB2125,89,157,136,DuracoatOpaque,,Opaque Sea Opal Duracoat ,Opaque
DB2126,52,144,81,DuracoatOpaque,,Opaque Fiji Green Duracoat ,Opaque
DB2127,38,110,88,DuracoatOpaque,,Opaque Spruce Duracoat ,Opaque
DB2128,71,153,175,DuracoatOpaque,,Opaque Nile Blue Duracoat ,Opaque
DB2129,107,129,142,DuracoatOpaque,,Opaque Moody Blue Duracoat ,Opaque
DB2130,25,155,171,DuracoatOpaque,,Opaque Underwater Blue Duracoat ,Opaque
DB2131,65,109,108,DuracoatOpaque,,Opaque Eucalyptus Duracoat ,Opaque
DB2132,72,109,138,DuracoatOpaque,,Opaque Bayberry Duracoat ,Opaque
DB2133,18,122,151,DuracoatOpaque,,Opaque Azure Duracoat ,Opaque
DB2134,25,106,187,DuracoatOpaque,,Opaque Delphinium Duracoat ,Opaque
DB2135,36,94,134,DuracoatOpaque,,Opaque Juniper Berry Duracoal ,Opaque
DB2136,157,120,171,DuracoatOpaque,,Opaque Crocus Duracoat ,Opaque
DB2137,151,98,118,DuracoatOpaque,,Opaque Hydrangea Duracoat ,Opaque
DB2138,157,126,196,DuracoatOpaque,,Opaque Columbine Duracoat ,Opaque
DB2139,119,89,123,DuracoatOpaque,,Opaque Dark Orchid Duracoal ,Opaque
DB2140,104,73,117,DuracoatOpaque,,Opaque Anemone Duracoat ,Opaque
DB2141,122,98,24,DuracoatOpaque,,Opaque Spanish Olive Duracoat ,Opaque
DB2142,101,70,42,DuracoatOpaque,,Opaque Cognac Duracoat ,Opaque
DB2143,43,57,94,DuracoatDyed ColourOpaque,,Opaque Navy ,Opaque
DB2144,34,37,78,DuracoatDyed ColourMatteOpaque,bit glossy,Opaque Cobalt ,Opaque
DB2151,164,100,75,DuracoatSilver Lined,glossy,Silver Lined Rose Copper Duracoat ,SilverLined
DB2152,146,60,59,DuracoatSilver Lined,glossy,Silver Lined Light Watermelon Duracoat ,SilverLined
DB2153,168,75,119,DuracoatSilver Lined,glossy,Silver Lined Pink Parfait Duracoat ,SilverLined
DB2154,183,72,78,DuracoatSilver Lined,glossy,Silver Lined Hibiscus Duracoat ,SilverLined
DB2155,153,112,94,DuracoatSilver Lined,glossy,Silver Lined Mica Duracoat ,SilverLined
DB2156,144,79,109,DuracoatSilver Lined,glossy,Silver Lined Orchid Duracoat ,SilverLined
DB2157,159,101,38,DuracoatSilver Lined,glossy,Silver Lined Yellow Gold Duracoat ,SilverLined
DB2158,174,70,41,DuracoatSilver Lined,glossy,Silver Lined Clementine Duracoat ,SilverLined
DB2159,169,71,58,DuracoatSilver Lined,glossy,Silver Lined Light Cranberry Duracoat ,SilverLined
DB2160,111,55,54,DuracoatSilver Lined,glossy,Silver Lined Magenta Duracoat ,SilverLined
DB2161,128,63,69,DuracoatSilver Lined,glossy,Silver Lined Petunia Duracoat ,SilverLined
DB2162,121,68,88,DuracoatSilver Lined,glossy,Silver Lined Hydrangea Duracoat ,SilverLined
DB2163,109,112,83,DuracoatSilver Lined,glossy,Silver Lined Willow Duracoat ,SilverLined
DB2164,127,105,58,DuracoatSilver Lined,glossy,Silver Lined Zest Duracoat ,SilverLined
DB2165,91,108,92,DuracoatSilver Lined,glossy,Silver Lined Dark Sea Foam Duracoat ,SilverLined
DB2166,73,79,79,DuracoatSilver Lined,glossy,Silver Lined Light Blue Steel Duracoat ,SilverLined
DB2167,77,77,89,DuracoatSilver Lined,glossy,Silver Lined Prussian Blue Duracoat ,SilverLined
DB2168,106,79,122,DuracoatSilver Lined,glossy,Silver Lined Orchid Duracoat ,SilverLined
DB2169,109,76,93,DuracoatSilver Lined,glossy,Silver Lined Lilac Duracoat ,SilverLined
DB2170,90,66,66,DuracoatSilver Lined,glossy,Silver Lined Raisin Duracoat ,SilverLined
DB2171,183,131,81,DuracoatFrostedSilver Lined,matte/ silk,Frosted Silver Lined Straw Duracoat ,SilverLinedFrosted
DB2172,172,108,83,DuracoatFrostedSilver Lined,matte/ silk,Frosted Silver Lined Rose Copper Duracoat ,SilverLinedFrosted
DB2173,150,60,59,DuracoatFrostedSilver Lined,matte/ silk,Frosted Silver Lined Light Watermelon Duracoat ,SilverLinedFrosted
DB2174,173,86,129,DuracoatFrostedSilver Lined,matte/ silk,Frosted Silver Lined Pink Parfait Duracoat ,SilverLinedFrosted
DB2175,188,77,94,DuracoatFrostedSilver Lined,matte/ silk,Frosted Silver Lined Hibiscus Duracoat ,SilverLinedFrosted
DB2176,83,115,140,DuracoatFrostedSilver Lined,matte/ silk,Frosted Silver Lined Light Bayberry Duracoat,SilverLinedFrosted
DB2177,158,117,99,DuracoatFrostedSilver Lined,matte/ silk,Frosted Silver Lined Mica Duracoat ,SilverLinedFrosted
DB2178,163,84,69,DuracoatFrostedSilver Lined,matte/ silk,Frosted Silver Lined Papaya Duracoat ,SilverLinedFrosted
DB2179,121,72,68,DuracoatFrostedSilver Lined,matte/ silk,Frosted Silver Lined Magenta Duracoat ,SilverLinedFrosted
DB2180,150,89,122,DuracoatFrostedSilver Lined,matte/ silk,Frosted Silver Lined Orchid Duracoat ,SilverLinedFrosted
DB2181,136,83,103,DuracoatFrostedSilver Lined,matte/ silk,Frosted Silver Lined Hydrangea Duracoat ,SilverLinedFrosted
DB2182,117,85,108,DuracoatFrostedSilver Lined,matte/ silk,Frosted Silver Lined Lilac Duracoat ,SilverLinedFrosted
DB2183,107,77,77,DuracoatFrostedSilver Lined,matte/ silk,Frosted Silver Lined Raisin Duracoat ,SilverLinedFrosted
DB2184,109,96,90,DuracoatFrostedSilver Lined,matte/ silk,Frosted Silver Lined Bramble Duracoat ,SilverLinedFrosted
DB2185,98,93,89,DuracoatFrostedSilver Lined,matte/ silk,Frosted Silver Lined Acacia Duracoat ,SilverLinedFrosted
DB2186,192,157,101,DuracoatFrostedSilver Lined,matte/ silk,Frosted Silver Lined Vinho Verde Duracoat ,SilverLinedFrosted
DB2187,183,164,61,DuracoatFrostedSilver Lined,matte/ silk,Frosted Silver Lined Citron Duracoat ,SilverLinedFrosted
DB2188,83,157,122,DuracoatFrostedSilver Lined,matte/ silk,Frosted Silver Lined Spearmint Duracoal ,SilverLinedFrosted
DB2189,181,107,122,DuracoatFrostedSilver Lined,matte/ silk,Frosted Silver Lined Honeysuckle Duracoal ,SilverLinedFrosted
DB2190,99,111,101,DuracoatFrostedSilver Lined,matte/ silk,Frosted Silver Lined Laurel Duracoat ,SilverLinedFrosted
DB2191,38,43,65,DuracoatDyed ColourSilver Lined,glossy,Silver Lined Navy Duracoat ,SilverLined
DB2192,40,40,52,DuracoatDyed ColourSilver Lined,glossy,Silver Lined Montana Duracoat ,SilverLined
DB2201,91,80,74,N/A,glossy/ colorful sides,Transparent Crystal Marea,TransparentCrystal
DB2203,104,103,101,Matte,matte/ colorful sides,Transparent Vitrail Matte AB,ABTransparentMatte
DB2204,137,136,142,Matte,,Opaque Labrador Matte,OpaqueMatte
DB2205,70,69,64,N/A,glossy/ colorful sides,Magic Orchid,
DB2206,67,68,73,N/A,glossy/ colorful sides,Magic Blue,
DB2207,78,63,60,N/A,glossy/ colorful sides,Magic Wine,
DB2261,43,42,40,MattePicasso,multi,Black Picasso ,
DB2262,152,129,95,MattePicasso,multi,Opaque Yellow Picasso ,Opaque
DB2263,71,43,42,MatteOpaquePicasso,multi,Opaque Red Picasso ,Opaque
DB2264,90,112,99,MattePicasso,multi,Opaque Turquoise Blue Picasso ,Opaque
DB2265,124,122,63,MattePicasso,multi,Opaque Chartreuse Picasso ,Opaque
DB2267,97,80,62,MattePicasso,multi,Opaque Brown Picasso ,Opaque
DB2271,146,112,103,Opaque,glossy/ bit multi,Opaque Glazed Beige ,OpaqueGlazed
DB2272,146,118,53,Opaque,glossy/ bit multi,Opaque Glazed Hawthorn,OpaqueGlazed
DB2273,154,104,53,Opaque,glossy/ bit multi,Opaque Glazed Toast ,OpaqueGlazed
DB2274,178,97,52,Opaque,glossy/ bit multi,Opaque Glazed Persimmon ,OpaqueGlazed
DB2275,139,60,63,Opaque,glossy/ bit multi,Opaque Glazed Jujube ,OpaqueGlazed
DB2281,139,149,151,Opaque,matte/ neutral,Matte Opaque Glazed Shark Fin ,OpaqueMatteGlazed
DB2282,139,133,119,Opaque,matte/ neutral,Matte Opaque Glazed Cactus ,OpaqueMatteGlazed
DB2283,198,182,45,Opaque,matte/ neutral,Matte Opaque Glazed Citron ,OpaqueMatteGlazed
DB2284,212,167,48,Opaque,matte/ neutral,Matte Opaque Glazed Pineapple ,OpaqueMatteGlazed
DB2285,221,152,51,Opaque,matte/ neutral,Matte Opaque Glazed Banana ,OpaqueMatteGlazed
DB2286,144,89,33,Opaque,matte/ neutral,Matte Opaque Glazed Toast ,OpaqueMatteGlazed
DB2287,159,90,31,Opaque,matte/ neutral,Matte Opaque Glazed Persimmon ,OpaqueMatteGlazed
DB2288,146,59,39,Opaque,matte/ neutral,Matte Opaque Glazed Sienna ,OpaqueMatteGlazed
DB2290,164,154,83,Opaque,matte/ neutral,Matte Opaque Glazed Spring Green ,OpaqueMatteGlazed
DB2291,72,85,59,Opaque,matte/ neutral,Matte Opaque Glazed Avocado ,OpaqueMatteGlazed
DB2292,99,95,118,Opaque,matte/ neutral,Matte Opaque Glazed Thistle ,OpaqueMatteGlazed
DB2293,93,82,114,Opaque,matte/ neutral,Matte Opaque Glazed Lupine ,OpaqueMatteGlazed
DB2294,145,101,114,Opaque,matte/ neutral,Matte Opaque Glazed Hydrangea ,OpaqueMatteGlazed
DB2295,116,79,97,Opaque,matte/ neutral,Matte Opaque Glazed Twilight Lavender ,OpaqueMatteGlazed
DB2301,176,153,119,Opaque,bit multi,Matte Opaque Glazed Moth Wing AB ,ABOpaqueMatteGlazed
DB2302,200,153,71,Opaque,bit multi,Matte Opaque Glazed Citron AB ,ABOpaqueMatteGlazed
DB2303,167,126,74,Opaque,multi,Matte Opaque Glazed Honey Bee AB ,ABOpaqueMatteGlazed
DB2305,152,123,119,Opaque,bit multi,Matte Opaque Glazed Beige AB ,ABOpaqueMatteGlazed
DB2306,158,79,82,Opaque,multi,Matte Opaque Glazed Camelian AB ,ABOpaqueMatteGlazed
DB2308,113,69,82,Opaque,multi,Matte Opaque Glazed Trillium Red AB ,ABOpaqueMatteGlazed
DB2309,130,139,76,Opaque,multi,Matte Opaque Glazed Seaweed AB ,ABOpaqueMatteGlazed
DB2310,117,130,104,Opaque,multi,Matte Opaque Glazed Pistachio AB ,ABOpaqueMatteGlazed
DB2311,85,112,97,Opaque,multi,Matte Opaque Glazed Turtle Green AB ,ABOpaqueMatteGlazed
DB2312,83,106,88,Opaque,bit multi,Matte Opaque Glazed Basil Green AB ,ABOpaqueMatteGlazed
DB2313,117,142,136,Opaque,bit multi,Matte Opaque Glazed Sea Opal AB ,ABOpaqueMatteGlazed
DB2315,85,124,141,Opaque,multi,Matte Opaque Glazed Nile Blue AB ,ABOpaqueMatteGlazed
DB2316,82,103,120,Opaque,multi,Matte Opaque Glazed Moody Blue AB ,ABOpaqueMatteGlazed
DB2317,82,96,133,Opaque,multi,Matte Opaque Glazed Bayberry AB ,ABOpaqueMatteGlazed
DB2318,95,113,153,Opaque,bit multi,Matte Opaque Glazed Mermaid Blue ABI ,ABOpaqueMatteGlazed
DB2319,70,75,107,Opaque,bit multi,Matte Opaque Glazed Navy AB ,ABOpaqueMatteGlazed
DB2320,134,143,152,Opaque,bit multi,Matte Opaque Glazed Shark Fin AB ,ABOpaqueMatteGlazed
DB2321,126,105,110,Opaque,multi,Matte Opaque Glazed Dark Beige AB ,ABOpaqueMatteGlazed
DB2322,111,96,115,Opaque,multi,Matte Opaque Glazed Sea Lavender AB ,ABOpaqueMatteGlazed
DB2351,240,188,86,DuracoatOpaque,matte,Opaque Pale Peach Duracoat ,Opaque
DB2352,148,94,60,DuracoatOpaque,matte,Opaque Terracotta Duracoat ,Opaque
DB2353,185,95,147,DuracoatOpaque,matte,Opaque Cherry Blossom Duracoat ,Opaque
DB2354,177,62,55,DuracoatOpaque,matte,Opaque Shanghai Red Duracoat ,Opaque
DB2355,81,51,63,DuracoatOpaque,matte,Opaque Plum Berry Duracoat ,Opaque
DB2356,103,161,136,DuracoatOpaque,matte,Opaque Pale Turquoise Duracoat ,Opaque
DB2357,71,72,37,DuracoatOpaque,matte,Opaque Olive Duracoal ,Opaque
DB2358,65,81,78,DuracoatOpaque,matte,Opaque Evergreen Duracoat ,Opaque
DB2359,90,73,149,DuracoatOpaque,matte,Opaque Violet Duracoat ,Opaque
DB2360,81,52,83,DuracoatOpaque,matte,Opaque Grape Duracoat ,Opaque
DB2361,232,209,215,DuracoatOpaque,matte,Opaque Pale Wisteria Duracoat ,Opaque
DB2362,191,181,161,DuracoatOpaque,matte,Opaque Flax Duracoat ,Opaque
DB2363,162,148,134,DuracoatOpaque,matte,Opaque Oyster Duracoat ,Opaque
DB2364,180,158,127,DuracoatOpaque,matte,Opaque Moth Wing Duracoal ,Opaque
DB2365,121,102,88,DuracoatOpaque,matte,Opaque Taupe Duracoat ,Opaque
DB2366,183,177,177,DuracoatOpaque,matte,Opaque Mist Grey Duracoat ,Opaque
DB2367,149,137,142,DuracoatOpaque,matte,Opaque Seal Grey Duracoat ,Opaque
DB2368,57,51,47,DuracoatOpaque,matte,Opaque Charcoal Duracoat ,Opaque
DB2371,242,202,143,N/A,bit glossy,Color Lined Ivory ,Lined
DB2372,171,120,39,N/A,glossy/ bit transparent,Color Lined Marigold ,Lined
DB2373,155,117,94,N/A,glossy/ bit transparent,Color Lined Blush ,Lined
DB2374,162,31,39,N/A,glossy/ bit transparent,Color Lined Scarlet ,Lined
DB2375,90,46,59,N/A,glossy/ bit transparent,Color Lined Red ,Lined
DB2376,105,148,66,N/A,glossy/ bit transparent,Color Lined Chartreuse ,Lined
DB2377,104,98,50,N/A,glossy/ bit transparent,Color Lined Lime ,Lined
DB2378,117,120,99,N/A,glossy/ bit transparent,Color Lined Willow ,Lined
DB2379,91,102,96,N/A,glossy/ silver lined?,Color Lined Eucalyptus ,Lined
DB2380,22,102,111,N/A,glossy/ bit transparent,Color Lined Teal ,Lined
DB2381,46,91,84,N/A,lined,Color Lined Spruce ,Lined
DB2382,34,126,151,N/A,glossy/ bit transparent,Color Lined Aqua ,Lined
DB2383,74,112,135,N/A,glossy/ bit transparent,Color Lined Dusk ,Lined
DB2384,42,83,103,N/A,lined,Color Lined Stormy ,Lined
DB2385,19,78,108,N/A,glossy/ bit transparent,Color Lined Pacific ,Lined
DB2386,48,56,95,N/A,lined/ glossy,Color Lined Night Sky ,Lined
DB2387,67,73,99,N/A,lined/ glossy,Color Lined Tidal ,Lined
DB2388,86,102,187,N/A,lined,Color Lined Lavender ,Lined
DB2389,112,39,92,N/A,glossy/ bit transparent,Color Lined Magenta ,Lined
DB2390,86,54,77,N/A,lined/ glossy,Color Lined Brandy ,Lined
DB2391,171,165,165,N/A,lined,Color Lined Moonstone ,Lined
DB2392,132,136,148,N/A,lined,Color Lined Pewter ,Lined
DB2393,124,124,124,N/A,glossy/ bit transparent,Color Lined Silver ,Lined
DB2394,56,57,59,N/A,glossy,Color Lined Steel ,Lined
DB2395,121,102,98,N/A,glossy/ bit transparent,Color Lined Sand ,Lined
DB2396,119,99,75,N/A,glossy/ bit transparent,Color Lined Moth ,Lined
DB2401,223,220,205,Crystal Glazed LusterLusterMatte,matte,Matte Opaque Light Buttercream,OpaqueMatte
DB2402,217,219,208,Crystal Glazed LusterLusterMatte,matte,Light Buttercream Ceylon,Ceylon
DB2403,104,54,43,Crystal Glazed LusterMatte,matte/ lined?/ cloudy,Matte Transparent Rootbeer,TransparentMatte
DB2404,150,164,75,Crystal Glazed LusterMatte,matte/ lined?/ cloudy,Matte Transparent Dark Olive,TransparentMatte
DB2405,109,90,84,Crystal Glazed LusterMatte,matte/ lined?/ cloudy,Matte Transparent Dark Smoky Amethyst,TransparentMatte
DB2406,104,99,95,Crystal Glazed LusterMatte,matte/ lined?/ cloudy,Matte Transparent Charcoal,TransparentMatte
DB2407,55,94,89,Crystal Glazed LusterMatte,matte/ lined?/ cloudy,Matte Opaque Eucalyptus,OpaqueMatte
DB2408,113,134,187,Crystal Glazed LusterMatte,matte/ lined?/ cloudy,Matte Opaque Steel Blue,OpaqueMatte
DB2409,121,113,105,Crystal Glazed LusterMatte,matte/ lined?/ cloudy,Matte Opaque Charcoal,OpaqueMatte
DB2501,212,180,97,DuracoatGalvanised,glossy/ metallic,Duracoat Galvanized Pale Gold,Galvanized
DB2502,216,201,100,DuracoatGalvanised,glossy/ metallic,Duracoat Galvanized Soft Yellow Gold,Galvanized
DB2503,217,131,108,DuracoatGalvanised,glossy/ metallic,Duracoat Galvanized Rose Gold,Galvanized
DB2504,162,107,76,DuracoatGalvanised,glossy/ metallic,Duracoat Galvanized Champagne Copper,Galvanized
DB2505,55,194,135,DuracoatGalvanised,glossy/ metallic,Duracoat Galvanized Green,Galvanized
DB2506,41,154,126,DuracoatGalvanised,glossy/ metallic,Duracoat Galvanized Aqua Green,Galvanized
DB2507,45,55,46,DuracoatGalvanised,glossy/ metallic,Duracoat Galvanized Black Moss,Galvanized
DB2508,106,62,141,DuracoatGalvanised,glossy/ metallic,Duracoat Galvanized Purple Orchid,Galvanized
DB2509,87,68,134,DuracoatGalvanised,glossy/ metallic,Duracoat Galvanized Dark Lilac,Galvanized
DB2510,66,49,127,DuracoatGalvanised,glossy/ metallic,Duracoat Galvanized Purple Night,Galvanized
DB2511,37,62,144,DuracoatGalvanised,glossy/ metallic,Duracoat Galvanized Navy Blue,Galvanized
DB2512,90,98,74,DuracoatGalvanised,glossy/ metallic,Duracoat Galvanized Steel Green,Galvanized
DB2513,47,134,162,DuracoatGalvanised,glossy/ metallic,Duracoat Galvanized Turquoise Blue,Galvanized
DB2514,24,101,157,DuracoatGalvanised,glossy/ metallic,Duracoat Galvanized Capri Blue,Galvanized
DB2515,45,116,138,DuracoatGalvanised,glossy/ metallic,Duracoat Galvanized Poseidon Blue,Galvanized
DB2516,39,114,172,DuracoatGalvanised,glossy/ metallic,Duracoat Galvanized Aqua Blue,Galvanized
DB2517,65,90,154,DuracoatGalvanised,glossy/ metallic,Duracoat Galvanized Mermaid Blue,Galvanized
